s_code,state,c_code,county,p_code,payam,b_code,boma,field9,field10
71,UPPER NILE,7101,RENK,710101,CHAMMEDI,710101001,BABANIS,,
71,UPPER NILE,7101,RENK,710101,CHAMMEDI,710101002,BOUBDIT,,
71,UPPER NILE,7101,RENK,710101,CHAMMEDI,710101003,CHAMMEDI,,
71,UPPER NILE,7101,RENK,710101,CHAMMEDI,710101004,LABIOR,,
71,UPPER NILE,7101,RENK,710102,GERGER,710102001,GERBENA,,
71,UPPER NILE,7101,RENK,710102,GERGER,710102002,GERGER CENTRE,,
71,UPPER NILE,7101,RENK,710102,GERGER,710102003,GOSPAMNI,,
71,UPPER NILE,7101,RENK,710102,GERGER,710102004,KILO 15,,
71,UPPER NILE,7101,RENK,710102,GERGER,710102005,KILO FIVE,,
71,UPPER NILE,7101,RENK,710102,GERGER,710102006,WUNTHOW,,
71,UPPER NILE,7101,RENK,710103,JALHAK,710103001,ANAMBUL,,
71,UPPER NILE,7101,RENK,710103,JALHAK,710103002,AWARPINY,,
71,UPPER NILE,7101,RENK,710103,JALHAK,710103003,BAJANG,,
71,UPPER NILE,7101,RENK,710103,JALHAK,710103004,JALHAK CENTRE,,
71,UPPER NILE,7101,RENK,710103,JALHAK,710103005,MOLBOK,,
71,UPPER NILE,7101,RENK,710104,NORTH RENK,710104001,ABOKAZARA,,
71,UPPER NILE,7101,RENK,710104,NORTH RENK,710104002,EMTIDAD-EL-JIDIET,,
71,UPPER NILE,7101,RENK,710104,NORTH RENK,710104003,GOSROOM,,
71,UPPER NILE,7101,RENK,710104,NORTH RENK,710104005,HAI-THERAYA,,
71,UPPER NILE,7101,RENK,710104,NORTH RENK,710104006,KIDWAD,,
71,UPPER NILE,7101,RENK,710105,SOUTH RENK,710105001,ELMASARA,,
71,UPPER NILE,7101,RENK,710105,SOUTH RENK,710105002,EMTIDAD EL GIDIM,,
71,UPPER NILE,7101,RENK,710105,SOUTH RENK,710105003,JOBORUNA,,
71,UPPER NILE,7101,RENK,710105,SOUTH RENK,710105004,PAYUER,,
71,UPPER NILE,7101,RENK,710105,SOUTH RENK,710105005,SUARE,,
71,UPPER NILE,7102,MANYO,710201,ADHIDHWOI,710201001,ADHIDHWOI,,
71,UPPER NILE,7102,MANYO,710201,ADHIDHWOI,710201002,KWOCH,,
71,UPPER NILE,7102,MANYO,710202,KAKA,710202001,ADERI,,
71,UPPER NILE,7102,MANYO,710202,KAKA,710202002,AKORWA,,
71,UPPER NILE,7102,MANYO,710202,KAKA,710202003,KAKA,,
71,UPPER NILE,7102,MANYO,710202,KAKA,710202004,THWOR-GWANG,,
71,UPPER NILE,7102,MANYO,710202,KAKA,710202005,URIANG,,
71,UPPER NILE,7102,MANYO,710203,MAGENIST,710203001,KITGUANG,,
71,UPPER NILE,7102,MANYO,710203,MAGENIST,710203002,OMMIRE,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204001,ASHIK,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204002,AYAD,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204003,BUSHARA,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204004,GANWAD,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204005,GARANG,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204006,KUEK,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204007,KURIA,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204008,MAMOR,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204009,NEW-SITE,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204010,OKUN,,
71,UPPER NILE,7102,MANYO,710204,WADAKONA,710204011,OMMHAR,,
71,UPPER NILE,7103,FASHODA,710301,DETHWOK,710301001,ABIENYAY,,
71,UPPER NILE,7103,FASHODA,710301,DETHWOK,710301002,ACHAK,,
71,UPPER NILE,7103,FASHODA,710301,DETHWOK,710301003,ALEL,,
71,UPPER NILE,7103,FASHODA,710301,DETHWOK,710301004,DITHOK,,
71,UPPER NILE,7103,FASHODA,710301,DETHWOK,710301005,KUNYCHANG,,
71,UPPER NILE,7103,FASHODA,710301,DETHWOK,710301006,MALO,,
71,UPPER NILE,7103,FASHODA,710301,DETHWOK,710301007,PABIW,,
71,UPPER NILE,7103,FASHODA,710302,KODOK,710302001,GOLLO,,
71,UPPER NILE,7103,FASHODA,710302,KODOK,710302002,GULBANY,,
71,UPPER NILE,7103,FASHODA,710302,KODOK,710302003,KALAGANY,,
71,UPPER NILE,7103,FASHODA,710302,KODOK,710302004,KODOK,,
71,UPPER NILE,7103,FASHODA,710302,KODOK,710302005,NYIGIR,,
71,UPPER NILE,7103,FASHODA,710303,KODOK TOWN,710303001,DEBOR,,
71,UPPER NILE,7103,FASHODA,710303,KODOK TOWN,710303002,KODOKTOWN,,
71,UPPER NILE,7103,FASHODA,710303,KODOK TOWN,710303003,LEEM,,
71,UPPER NILE,7103,FASHODA,710304,LUL,710304001,BUOOL,,
71,UPPER NILE,7103,FASHODA,710304,LUL,710304002,FASHODA,,
71,UPPER NILE,7103,FASHODA,710304,LUL,710304003,WICHREAK,,
71,UPPER NILE,7104,MELUT,710401,BIMCHUK,710401001,MABORON,,
71,UPPER NILE,7104,MELUT,710401,BIMCHUK,710401002,PABWONY,,
71,UPPER NILE,7104,MELUT,710401,BIMCHUK,710401003,PARAG,,
71,UPPER NILE,7104,MELUT,710401,BIMCHUK,710401004,THAAK,,
71,UPPER NILE,7104,MELUT,710401,BIMCHUK,710401005,TORTHIANG,,
71,UPPER NILE,7104,MELUT,710402,GOLDORA,710402001,CHUAI,,
71,UPPER NILE,7104,MELUT,710402,GOLDORA,710402002,THIANGRIAL,,
71,UPPER NILE,7104,MELUT,710403,MELUT,710403001,TIEB,,
71,UPPER NILE,7104,MELUT,710403,MELUT,710403002,TORKUACH,,
